830,509,377,268,90,83,67,32,27
714,724,581,803,780,450,519,391,648
685,861,584,763,546,379,436,387,520
547,600,492,985,656,620,701,471,970
443,380,232,553,172,412,290,227,364
728,636,390,368,167,179,99,57,62
575,268,350,555,136,259,188,180,138
448,407,623,900,302,550,532,425,364
441,664,678,684,573,471,628,475,668
1,0,0,0,0,0,0,0,0
621,604,360,750,527,446,549,360,645
452,344,423,958,61,538,401,387,136
647,723,620,1403,308,748,705,496,453
1417,1808,1395,2271,1694,1291,1795,1282,2262
233,447,439,361,159,302,350,308,133
0,0,2,1,0,0,0,0,1
0,0,1,0,0,0,0,0,0
588,665,490,1130,373,732,869,642,444
397,403,323,630,151,358,385,263,245
190,88,47,71,25,9,14,1,12
571,667,557,958,543,584,846,571,741
396,432,456,823,169,549,691,497,250
1088,1565,1287,2474,1072,1446,1933,1353,1793
155,76,159,257,1,127,52,76,6
203,194,196,417,112,277,267,150,113
811,852,628,1033,288,577,671,513,389
606,960,762,1900,683,1161,1230,807,942
0,0,2,0,0,0,0,0,0
388,717,644,979,1410,574,986,729,1819
417,332,315,571,85,334,323,226,132
58,12,24,35,5,24,4,24,11
880,659,391,496,298,237,270,172,174
